<pre>
 
                Tageswerte der Station 10655 W�rzburg                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
10655 20260515  1    1.8    3.2    8.2   13.4   79.1    2.0    6.9    4.8    5.0    0.2  970.7
10655 20260514  1    2.1    4.0    8.4   13.7   78.4    3.0   14.3    7.1    5.7    1.2  968.4
10655 20260513  1    5.5    5.8    8.8   14.3   74.0    3.0   14.0    1.6    7.6    4.4  973.7
10655 20260512  1    1.8    3.1    7.2   11.7   65.3    3.0   15.8    3.2    6.0    0.0  979.9
10655 20260511  1    4.9    6.1   12.0   19.3   81.8    3.0   17.8    3.4    7.5    2.5  971.9
10655 20260510  1    8.6    9.9   17.1   24.2   63.1    2.0   15.1   11.4    6.4    1.1  978.7
10655 20260509  1    5.4    6.6   14.2   21.6   68.5    2.0    6.8   10.9    3.0    0.0  985.7
10655 20260508  1    4.7    6.2   11.4   18.3   75.2    2.0    6.4    6.5    4.3    0.0  986.1
10655 20260507  1    5.4    7.6   10.3   12.3   88.1    2.0    9.8    0.0    7.4    0.6  981.8
10655 20260506  1   10.0   11.0   14.5   20.9   78.0    3.0    9.9    6.7    6.6    4.7  974.9
10655 20260505  1   11.5   12.5   16.0   23.1   75.6    2.0   17.1    2.8    7.5    8.8  976.8
10655 20260504  1    8.1   10.6   17.6   22.7   56.5    2.0    7.2    7.5    7.5    0.0  981.9
10655 20260503  1    6.9    8.9   17.8   25.4   50.0    2.0   13.3    9.1    7.8    0.2  982.8
10655 20260502  1    3.0    5.9   16.7   25.6   49.0    2.0    7.0   13.8    4.4    0.0  988.8
10655 20260501  1    1.1    3.6   14.6   22.6   41.3    3.0   11.8   13.7    0.1    0.0  994.7
10655 20260430  1    1.9    3.6   11.1   17.9   31.9    4.0   14.0   13.7    0.8    0.0  996.3
10655 20260429  1    4.4    6.0   12.0   18.5   33.9    3.0   12.9   13.6    0.0    0.0  992.1
10655 20260428  1    7.6    8.6   14.5   21.5   41.4    3.0   13.5   13.1    3.9    0.0  987.7
10655 20260427  1    0.5    3.1   12.0   19.3   46.8    2.0    5.8   12.6    6.2    0.0  989.8
10655 20260426  1    1.4    4.8   11.4   17.3   47.5    2.0    6.5   12.2    3.6    0.0  990.8
10655 20260425  1    1.5    3.9   13.7   21.5   46.0    2.0    8.2   13.3    2.6    0.0  986.2
10655 20260424  1    1.6    4.9   13.4   21.4   44.0    2.0    8.8   13.4    4.1    0.0  988.6
10655 20260423  1   -1.3    2.0   12.1   21.3   44.5    2.0    7.6   13.3    1.4    0.0  993.4
10655 20260422  1   -0.7    2.2   10.0   16.7   50.2    2.0   10.9   13.2    0.0    0.0  992.9
10655 20260421  1    1.4    4.7    9.0   14.4   62.9    3.0   11.8    2.4    5.6    0.0  989.1
10655 20260420  1    1.6    4.1    8.7   14.2   65.3    2.0    9.1    7.7    4.5    0.0  986.7
10655 20260419  1    3.4    6.3   11.0   14.9   76.1    2.0   12.4    4.7    5.6    2.7  986.1
10655 20260418  1    6.7    8.6   15.6   22.7   64.8    1.0    6.8    6.4    6.5    0.0  987.6
10655 20260417  1    5.1    7.5   15.0   22.2   64.0    1.0    5.4   10.5    4.1    0.0  989.7
10655 20260416  1    7.8    9.2   14.5   20.4   68.0    2.0    7.8    4.1    7.0    0.0  989.9
10655 20260415  1    2.9    5.1   11.5   16.9   74.3    2.0    7.0    7.8    5.0    0.0  990.3
10655 20260414  1    4.9    7.5    9.8   13.5   79.3    2.0    6.7    2.2    6.5    0.4  987.3
10655 20260413  1    6.3    6.8    9.9   13.1   81.5    2.0    6.6    0.1    8.0    5.7  979.5
10655 20260412  1    7.3    7.0    8.7   12.2   88.6    2.0    9.8    0.0    7.7    6.1  983.4
10655 20260411  1    3.7    5.3   12.3   18.4   57.6    3.0   11.0   11.9    6.0    0.4  982.5
10655 20260410  1    3.8    6.4   10.0   14.2   62.2    2.0    7.2    2.0    7.8    0.0  985.0
10655 20260409  1    1.0    3.9   11.1   17.9   44.3    2.0    5.8    9.4    7.5    1.4  988.4
10655 20260408  1   -0.7    2.9   10.7   17.8   41.1    2.0    7.8   12.7    3.2    0.0  993.7
10655 20260407  1    0.2    2.7   10.5   17.9   49.7    2.0    7.4   12.7    0.4    0.0  993.7
10655 20260406  1    1.7    5.8   10.6   15.8   50.6    2.0    8.1   11.6    5.7    0.0  994.7
10655 20260405  1    4.3    6.0   12.9   20.8   67.2    4.0   19.1    6.7    6.1    0.0  987.0
10655 20260404  1    6.5    8.4   11.9   14.8   75.4    3.0   13.8    0.2    7.7    0.0  988.3
10655 20260403  1    2.9    4.4    9.3   13.4   63.3    3.0   13.6    1.9    7.7    0.0  985.5
10655 20260402  1   -4.1   -1.6    6.8   14.7   59.0    2.0    7.2   12.2    0.3    0.0  985.3
10655 20260401  1   -1.5    1.4    6.1   10.7   68.8    2.0    7.6    3.6    5.2    0.0  991.8
10655 20260331  1    1.1    2.3    5.3   10.0   71.6    2.0    7.4    1.3    7.0    0.2  992.7
10655 20260330  1    1.1    2.8    5.3   10.4   75.6    4.0   19.6    5.6    6.3    3.1  985.2
10655 20260329  1   -0.2    1.3    5.0   10.0   71.0    2.0   10.7    8.0    5.6    1.4  993.7
10655 20260328  1   -4.9   -3.1    1.8    7.0   78.7    2.0   12.3    2.0    6.6    3.0  988.3
10655 20260327  1   -4.5   -1.8    2.5    8.7   63.8    2.0    7.0    7.3    1.1    0.0  989.9
10655 20260326  1   -2.2    0.1    3.9    8.6   74.0    2.0   12.5    4.1    5.0    0.1  981.1
10655 20260325  1    1.1    3.1    7.0   11.1   74.8    4.0   20.8    1.1    6.5    6.7  973.5
10655 20260324  1   -1.1    0.8    8.9   15.6   55.8    2.0   12.0    4.6    7.1    0.0  987.3
10655 20260323  1   -1.4    2.2    8.9   15.9   53.1    2.0    8.2   10.0    2.0    0.0  986.1
10655 20260322  1    0.4    2.6    8.8   15.1   60.5    3.0   14.6    8.8    2.8    0.0  982.7
10655 20260321  1    2.4    4.5    8.1   13.6   69.5    3.0   14.1    3.7    6.3    0.3  984.0
10655 20260320  1   -1.7    1.4    8.5   14.9   62.0    2.0    7.6    7.3    3.7    0.0  987.5
10655 20260319  1    0.1    3.5    9.1   15.4   57.3    2.0    8.9   11.2    2.2    0.0  991.8
10655 20260318  1   -2.7    1.0    7.6   13.9   64.6    3.0   11.2   11.3    0.0    0.0  993.2
10655 20260317  1    0.1    1.7    5.8    9.8   83.5    2.0    6.5    0.2    7.6    0.0  990.8
